Bill_No,Congress_Name,Bill_URL,Short_Title,Long_Title,Author,Date_Filed,Scope,Subjects,Primary_Committee,Legislative_Status
Senate Bill No. 2223,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2223-15th-congress-republic,INFANT AND TODDLER DURABLE PRODUCT SAFETY ACT,AN ACT TO PROMULGATE A CONSUMER PRODUCT SAFETY STANDARD FOR EACH DURABLE INFANT OR TODDLER PRODUCT,Miriam Defensor Santiago,"February 8, 2010",NATIONAL,INFANT MORTALITY PROGRAM,TRADE AND COMMERCE,PENDING IN THE COMMITTEE
Senate Bill No. 1242,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1242-15th-congress-republic,KOMIKS INDUSTRY ACT OF 2010,"AN ACT PROMOTING THE REVIVAL OF THE KOMIKS INDUSTRY, PROVIDING TAX INCENTIVES THEREFOR, AND FOR OTHER PURPOSES","Manuel B. Villar, Jr. B.","December 7, 2010",NATIONAL,KOMIKS,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 1717,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1717-15th-congress-republic,PREGNANT WOMEN'S WELFARE ACT,"AN ACT PROVIDING FOR THE BENEFITS AND PRIVILEGES TO PREGNANT WOMEN AND THEIR FAMILIES, APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES",Miriam Defensor Santiago,"July 21, 2010",NATIONAL,pregnancy,"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 818,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-818-15th-congress-republic,PROHIBITED ACTS OF DISCRIMINATION AGAINST WOMEN,"AN ACT AMENDING ARTICLES 135 AND 137 OF THE LABOR CODE (PD 442 AS AMENDED) SO AS TO EXPAND THE PROHIBITED ACTS OF DISCRIMINATION AGAINST WOMEN ON ACCOUNT OF SEX, AGE, ETHNIC ORIGIN OR BELIEFS","ESTRADA, JINGGOY E.","August 7, 2010",NATIONAL,GENDER DISCRIMINATION AGE DISCRIMINATION,"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 2281,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2281-15th-congress-republic,AMENDING R.A.NO. 6955 TO INCLUDE E-MAIL ORDER BRIDE SCHEME,"AN ACT BROADENING THE SCOPE OF UNLAWFUL PRACTICES OF MATCHING FILIPINO WOMEN FOR MARRIAGE TO FOREIGN NATIONALS TO INCLUDE VARIOUS SCHEMES MADE AVAILABLE THROUGH THE INTERNET, AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 6955",Miriam Defensor Santiago,"February 8, 2010",NATIONAL,MAIL-ORDER BRIDE (R.A.NO. 6955),"YOUTH, WOMEN AND FAMILY RELATIONS",PENDING IN THE COMMITTEE
Senate Bill No. 1302,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1302-15th-congress-republic,REPORT THEFT OF FIREARM ACT,AN ACT REQUIRING THE REPORTING OF THEFT OF A FIREARM BY THE LEGAL OWNER THEREOF AND PROVIDING CIVIL LIABILITY FOR VIOLATION THEREFOR,"Manuel B. Villar, Jr. B.","December 7, 2010",NATIONAL,THEFT AND ROBBERY FIREARMS,PUBLIC ORDER AND DANGEROUS DRUGS,CONSOLIDATED/SUBSTITUTED IN THE COMMITTEE REPORT
Senate Bill No. 876,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-876-15th-congress-republic,EMERGENCY RICE RESERVES ACT OF 2010,AN ACT ESTABLISHING EMERGENCY RICE RESERVES AND FOR OTHER PURPOSES,"ESTRADA, JINGGOY E.","August 7, 2010",NATIONAL,N/A,AGRICULTURE AND FOOD,PENDING IN THE COMMITTEE
Senate Bill No. 2003,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2003-15th-congress-republic,COMPUTER EDUCATION PROGRAM,AN ACT TO INTEGRATE A COMPUTER EDUCATION PROGRAM INTO THE EDUCATIONAL SYSTEM AND FOR OTHER PURPOSES,"REVILLA JR., RAMON BONG","July 26, 2010",NATIONAL,COMPUTER EDUCATION,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 257,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-257-15th-congress-republic,PHILIPPINE NATIONAL HEALTH RESEARCH SYSTEM ACT OF 2010,"AN ACT INSTITUTIONALIZING THE PHILIPPINE NATIONAL HEALTH RESEARCH SYSTEM, ESTABLISHING THE PHILIPPINE NATIONAL HEALTH RESEARCH FUND PROVIDING FOR ITS ADMINISTRATION AND FOR OTHER PURPOSES",Antonio F. Trillanes IV,"June 7, 2010",NATIONAL,PHILIPPINE NATIONAL HEALTH RESEARCH,HEALTH AND DEMOGRAPHY,CONSOLIDATED/SUBSTITUTED IN THE COMMITTEE REPORT
Senate Bill No. 596,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-596-15th-congress-republic,NATIONAL AGRICULTURAL MARKETING ACT OF 2010,"AN ACT TO PROMOTE THE AGRICULTURE INDUSTRY, STABILIZE PRICES OF AGRICULTURAL PRODUCTS AND ENHANCE FOOD SECURITY THROUGH THE EFFECTIVE PRODUCTION, PROCESSING, MARKETING AND DISTRIBUTION OF AGRICULTURAL PRODUCTS, RATIONALIZING AND RESTRUCTURING FOR THE PURPOSE, ALL EXISTING GOVERNMENT ORGANIZATIONS IN AGRICULTURAL PRODUCTION, DISTRIBUTION, MARKETING AND OTHER SUPPORT PROGRAMS, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES","ESTRADA, JINGGOY E.","July 7, 2010",NATIONAL,MARINE AND AGRICULTURAL PRODUCTS TRADING CENTER,AGRICULTURE AND FOOD,PENDING IN THE COMMITTEE
Senate Bill No. 2061,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2061-15th-congress-republic,SHEIKH KARIMUL MAKHDUM MOSQUE,"AN ACT DECLARING THE SHEIKH KARIMUL MAKHDUM MOSQUE, CONSIDERED AS THE FIRST AND OLDEST MUSLIM HOUSE OF PRAYER OR MOSQUE IN THE PHILIPPINES,CONSTRUCTED IN 1380 A.D. AT TUBIG, INDANGAN, SIMUNUL, PROVINCE OF TAWI-TAWI, AS A NATIONAL SHRINE, AND FOR OTHER PURPOSES",Edgardo J. Angara,"July 26, 2010",NATIONAL,NATIONAL SHRINE,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 2628,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2628-15th-congress-republic,INTELLECTUAL PROPERTY CODE,"AN ACT AMENDING CERTAIN PROVISIONS OF REPUBLIC ACT NO. 8293, OTHERWISE KNOWN AS THE 'INTELLECTUAL PROPERTY CODE OF THE PHILIPPINES' AND FOR OTHER PURPOSES","LEGARDA, LOREN B.","December 14, 2010",NATIONAL,INTELLECTUAL PROPERTY CODE,TRADE AND COMMERCE,CONSOLIDATED/SUBSTITUTED IN THE COMMITTEE REPORT
Senate Bill No. 654,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-654-15th-congress-republic,PHILIPPINE AIR FORCE ACADEMY ACT OF 2010,AN ACT ESTABLISHING THE PHILIPPINE AIR FORCE ACADEMY (PAFA) AND APPROPRIATING FUNDS THEREFOR,"ESTRADA, JINGGOY E.","July 7, 2010",NATIONAL,PHILIPPINE AIR FORCE (PAF),NATIONAL DEFENSE AND SECURITY,PENDING IN THE COMMITTEE
Senate Bill No. 1784,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1784-15th-congress-republic,ANTI-POLITICAL SIGNS ON GOVERNMENT PROPERTY ACT,AN ACT TO PROHIBIT THE POSTING OF POLITICAL SIGNS ON GOVERNMENT PROPERTY,Miriam Defensor Santiago,"July 21, 2010",NATIONAL,GOVERNMENT PROPERTY,"CONSTITUTIONAL AMENDMENTS, REVISION OF CODES AND LAWS",PENDING IN THE COMMITTEE
Senate Bill No. 286,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-286-15th-congress-republic,FAMILIES COMMISSION ACT OF 2010,"AN ACT ESTABLISHING THE FAMILIES COMMISSION, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",Antonio F. Trillanes IV,"June 7, 2010",NATIONAL,FAMILIES COMMISSION,"YOUTH, WOMEN AND FAMILY RELATIONS",PENDING IN THE COMMITTEE
Senate Bill No. 2348,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2348-15th-congress-republic,ANTI-COMPUTER PORNOGRAPHY ACT OF 2010,AN ACT TO PUNISH THE ELECTRONIC TRANSMISSION OF INDECENT OR PORNOGRAPHIC MATERIAL TO MINORS,"LEGARDA, LOREN B.","April 8, 2010",NATIONAL,INTERNET SAFETY pornography,PUBLIC INFORMATION AND MASS MEDIA,PENDING IN THE COMMITTEE
Senate Bill No. 374,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-374-15th-congress-republic,TRANSPARENCY IN DRUG LABELING ACT,ACT TO REQUIRE COUNTRY OF ORIGIN LABELING ON PRESCRIPTION AND OVER-THE-COUNTER DRUGS,Antonio F. Trillanes IV,"June 7, 2010",NATIONAL,DRUG LABELING,HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
Senate Bill No. 1841,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1841-15th-congress-republic,CAMPUS FIRE SAFETY RIGHT-TO-KNOW ACT,AN ACT TO PROVIDE FOR DISCLOSURE OF FIRE SAFETY STANDARDS AND MEASURES WITH RESPECT TO CAMPUS BUILDINGS,Miriam Defensor Santiago,"July 21, 2010",NATIONAL,Fire Protection SCHOOL SITES/SCHOOL CAMPUS,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 943,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-943-15th-congress-republic,PHTHALATES BAN ON COSMETICS AND PERSONAL CARE PRODUCTS ACT OF 2010,"AN ACT PROHIBITING THE USE AND SALE OF COSMETIC AND PERSONAL CARE PRODUCTS CONTAINING PHTHALATES, PROVIDING PENALTIES THEREOF AND FOR OTHER PURPOSES","LAPID, MANUEL ""LITO"" M.","August 7, 2010",NATIONAL,COSMETICS AND PERSONAL CARE PRODUCTS PHTHALATES,HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
Senate Bill No. 2405,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2405-15th-congress-republic,COMMON CARRIERS ACT OF 2010,AN ACT MANDATING SUFFICIENT INFORMATION OF DRIVERS OF PUBLIC UTILITY VEHICLES AS A REQUIREMENT FOR THE ISSUANCE AND EXTENSION OF FRANCHISES OF COMMON CARRIERS,"REVILLA JR., RAMON BONG","December 8, 2010",NATIONAL,COMMON CARRIERS PUBLIC UTILITY VEHICLE DRIVERS,PUBLIC SERVICES,PENDING IN THE COMMITTEE
Senate Bill No. 432,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-432-15th-congress-republic,PROVIDING REPARATION ON WRONGLY JAILED INDIVIDUALS,"AN ACT PROVIDING REPARATION TO WRONGLY JAILED INDIVIDUALS, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES","ESTRADA, JINGGOY E.","June 7, 2010",NATIONAL,PRISONERS (WRONGLY JAILED INDIVIDUALS),JUSTICE AND HUMAN RIGHTS,PENDING IN THE COMMITTEE
Senate Bill No. 1366,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1366-15th-congress-republic,LAND ADMINISTRATION REFORM ACT OF 2010,"AN ACT INSTITUTING REFORMS IN LAND ADMINISTRATION SYSTEM, CREATING THE LAND ADMINISTRATION AUTHORITY, AND FOR OTHER PURPOSES","LEGARDA, LOREN B.","July 13, 2010",NATIONAL,LAND ADMINISTRATION,ENVIRONMENT AND NATURAL RESOURCES,PENDING IN THE COMMITTEE
Senate Bill No. 1423,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1423-15th-congress-republic,DECRIMINALIZING VAGRANCY,"AN ACT DECRIMINALIZING CERTAIN ACTS OF VAGRANCY AMENDING FOR THIS PURPOSE ARTICLE 202 OF ACT NO. 3815 AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE","LEGARDA, LOREN B.","July 13, 2010",NATIONAL,VAGRANCY REVISED PENAL CODE (R.A.NO. 3815 AMENDMENTS),JUSTICE AND HUMAN RIGHTS,CONSOLIDATED/SUBSTITUTED IN THE COMMITTEE REPORT
Senate Bill No. 2416,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2416-15th-congress-republic,EXEMPTING TRICYCLES FROM MOTOR VEHICLE USER'S CHARGE,"AN ACT AMENDING SECTIONS 2 AND 3 (B) OF REPUBLIC ACT NO. 8794, OTHERWISE KNOWN AS AN ACT IMPOSING A MOTOR VEHICLE USERS CHARGE ON OWNERS OF ALL TYPES OF MOTOR VEHICLES AND FOR OTHER PURPOSES","ESTRADA, JINGGOY E.","August 16, 2010",NATIONAL,N/A,PUBLIC WORKS,PENDING IN THE COMMITTEE
Senate Bill No. 698,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-698-15th-congress-republic,ADMINISTRATIVE TOTAL DISABILITY PENSION TO SENIOR VETERANS,AN ACT PROVIDING FOR THE PAYMENT OF THE ADMINISTRATIVE TOTAL DISABILITY PENSION TO SENIOR VETERANS OF WARS AND MILITARY CAMPAIGNS,"ESTRADA, JINGGOY E.","July 7, 2010",NATIONAL,VETERANS,NATIONAL DEFENSE AND SECURITY,PENDING IN THE COMMITTEE
Senate Bill No. 191,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-191-15th-congress-republic,OMNIBUS ELECTION CODE,"AN ACT PROHIBITING THE USE OF PUBLIC RESOURCES TO MAKE COMMUNICATIONS THAT CONTAIN POLITICAL ADVERTISING, AMENDING FOR THIS PURPOSE BATAS PAMBANSA BILANG 881, OTHERWISE KNOWN AS THE OMNIBUS ELECTION CODE OF THE PHILIPPINES",Antonio F. Trillanes IV,"June 7, 2010",NATIONAL,OMNIBUS ELECTION CODE (BATAS PAMBANSA BLG. 881) ADVERTISING,ELECTORAL REFORMS AND PEOPLES PARTICIPATION,PENDING IN THE COMMITTEE
Senate Bill No. 2474,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2474-15th-congress-republic,NATIONAL INTERNAL REVENUE CODE (TAX ON WINNINGS),"AN ACT RATIONALIZING THE TAX ON WINNINGS AND DOCUMENTARY STAMP TAX IN HORSE RACING, AMENDING FOR THE PURPOSE SECTIONS 126 AND 190 OF THE NATIONAL INTERNAL REVENUE CODE FO 1997, AS AMENDED, SECTIONS 11 AND 13 OF REPUBLIC ACT NO. 8407, AND SECTIONS 8 AND 10 OF REPUBLIC ACT NO. 7953","LAPID, MANUEL ""LITO"" M.","January 9, 2010",NATIONAL,NATIONAL INTERNAL REVENUE CODE (NIRC) HORSE RACING DOCUMENTARY STAMP TAX,WAYS AND MEANS,PENDING IN THE COMMITTEE
Senate Bill No. 756,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-756-15th-congress-republic,AMENDING THE LABOR CODE (P.D. NO. 442) RE NIGHT WORKER: 10PM TO 6AM SHIFT,"AN ACT AMENDING CERTAIN PROVISIONS OF PRESIDENTIAL DECREE NO. 442, OTHERWISE KNOWN AS THE LABOR CODE OF THE PHILIPPINES, AND FOR OTHER PURPOSES","ESTRADA, JINGGOY E.","July 7, 2010",NATIONAL,LABOR CODE OF THE PHILIPPINES (P.D.NO. 442 AMENDMENTS) NIGHT SHIFT WORKER,"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 1968,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1968-15th-congress-republic,MATURE AND OLDER WORKERS ACT,AN ACT TO ESTABLISH JOB TRAINING PROGRAM FOR MATURE OR OLDER WORKERS,Miriam Defensor Santiago,"July 22, 2010",NATIONAL,MATURE AND OLDER WORKERS,"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 1434,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1434-15th-congress-republic,WOMEN EMPOWERMENT ACT OF 2010,AN ACT PROVIDING FOR WOMEN EMPOWERMENT AND FOR OTHER PURPOSES,"LEGARDA, LOREN B.","July 13, 2010",NATIONAL,WOMEN,"YOUTH, WOMEN AND FAMILY RELATIONS",PENDING IN THE COMMITTEE
Senate Bill No. 1492,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1492-15th-congress-republic,CIVIL PENALTIES AND DAMAGES INFLATION ADJUSTMENT ACT,AN ACT CREATING A COLLECTION AGENCY REGULATORY BOARD PROVIDING THE PROCEDURE FOR THE REGULAR ADJUSTMENT FOR INFLATION OF CIVIL MONETARY PENALTIES AS PROVIDED IN THE PENAL CODE AND AMOUNT OF DAMAGES CAUSED BY A CRIME OR QUASI-DELICT,Miriam Defensor Santiago,"July 15, 2010",NATIONAL,INFLATION,"CONSTITUTIONAL AMENDMENTS, REVISION OF CODES AND LAWS",PENDING IN THE COMMITTEE
Senate Bill No. 2197,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2197-15th-congress-republic,OPEN HIGH SCHOOL SYSTEM ACT,"AN ACT INSTITUTIONALIZING THE OPEN HIGH SCHOOL SYSTEM IN THE PHILIPPINES, APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES","REVILLA JR., RAMON BONG","July 29, 2010",NATIONAL,OPEN HIGH SCHOOL SYSTEM (OHSS),"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 476,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-476-15th-congress-republic,PHILIPPINE RAILWAYS MODERNIZATION ACT OF 2010,"AN ACT RESTORING, REHABILITATING AND MODERNIZING THE OLD AND EXISTING LINES OF THE PHILIPPINES NATIONAL RAILWAYS (PNR), EXTENDING THESE LINES FURTHER AS PROVIDED UNDER REPUBLIC ACT NO. 36, TO PROVIDE A VIABLE PUBLIC RAILWAY TRANSPORT AND APPROPRIATING FUNDS NECESSARY THEREFOR","ESTRADA, JINGGOY E.","June 7, 2010",NATIONAL,N/A,GOVERNMENT CORPORATIONS AND PUBLIC ENTERPRISES,PENDING IN THE COMMITTEE
Senate Bill No. 1030,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1030-15th-congress-republic,BIOMETRICS,"AN ACT REQUIRING ALL REGISTERED VOTERS WHOSE BIOMETRICS HAVE NOT BEEN CAPTURED TO APPEAR BEFORE THE ELECTION OFFICER OF THEIR PLACE OF REGISTRATION FOR PURPOSES OF HAVING THEIR PHOTOGRAPHS, FINGERPRINTS AND SIGNATURES CAPTURED THROUGH THE METHOD OF BIOMETRICS, FOR PURPOSES OF ENSURING THAT THE AUTOMATED FINGERPRINT IDENTIFICATION SYSTEM (AFIS) CAN BE UTILIZED TO CLEANSE THE RECORDS OF DOUBLE OR MULTIPLE REGISTRANTS","LAPID, MANUEL ""LITO"" M.","August 7, 2010",NATIONAL,BIOMETRICS ELECTIONS/ELECTORAL REFORMS,ELECTORAL REFORMS AND PEOPLES PARTICIPATION,APPROVED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 1690,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1690-15th-congress-republic,ANTI-MUFFLER MODIFICATION ACT,AN ACT PROHIBITING MODIFICATION OF MUFFLERS TO INCREASE NOISE EMITTED FROM EXHAUST SYSTEMS,Miriam Defensor Santiago,"July 21, 2010",NATIONAL,NOISE POLLUTION,PUBLIC SERVICES,PENDING IN THE COMMITTEE
Senate Bill No. 2254,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2254-15th-congress-republic,OMNIBUS ELECTION CODE (ELECTION RESULTING IN TIE),"AN ACT AMENDING BATAS PAMBANSA BLG. 881 AS AMENDED, ALSO KNOWN AS THE OMNIBUS ELECTION CODE OF 1985, SECTION 240 ON ELECTIONS RESULTING IN TIE",Miriam Defensor Santiago,"February 8, 2010",NATIONAL,ELECTIONS/ELECTORAL REFORMS OMNIBUS ELECTION CODE (BATAS PAMBANSA BLG. 881),ELECTORAL REFORMS AND PEOPLES PARTICIPATION,PENDING IN THE COMMITTEE
Senate Bill No. 534,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-534-15th-congress-republic,"BARANGAY SECRETARY, APPOINTMENT, QUALIFICATIONS, POWER AND DUTIES","AN ACT AMENDING CERTAIN PROVISIONS OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991, AND FOR OTHER PURPOSES","ESTRADA, JINGGOY E.","July 7, 2010",NATIONAL,"LOCAL GOVERNMENT CODE, AMENDMENTS (R.A. NO. 7160)",LOCAL GOVERNMENT,PENDING IN THE COMMITTEE
Senate Bill No. 1748,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1748-15th-congress-republic,NATIONAL POLICE COMMISSION REORGANIZATION ACT,AN ACT PROVIDING FOR THE REORGANIZATION OF THE NATIONAL POLICE COMMISSION,Miriam Defensor Santiago,"July 21, 2010",NATIONAL,NATIONAL POLICE COMMISSION (NAPOLCOM),PUBLIC ORDER AND DANGEROUS DRUGS,PENDING IN THE COMMITTEE
Senate Bill No. 1977,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1977-15th-congress-republic,ANTI-DISCRIMINATION AGAINST WOMEN ON ACCOUNT OF SEX,"AN ACT EXPANDING THE PROHIBITED ACTS OF DISCRIMINATION AGAINST WOMEN ON ACCOUNT OF SEX, AMENDING FOR THE PURPOSE ARTICLE 135 AND 137 OF PRESIDENTIAL DECREE NO. 442, AS AMENDED, OTHERWISE KNOWN AS THE LABOR CODE OF THE PHILIPPINES","REVILLA JR., RAMON BONG","July 26, 2010",NATIONAL,ANTI-DISCRIMINATION LABOR CODE OF THE PHILIPPINES (P.D.NO. 442 AMENDMENTS),"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 2542,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2542-15th-congress-republic,INFIDELITY IN THE CUSTODY OF PRISONERS,"AN ACT PRESCRIBING STRICTER PENALTIES ON THE CRIME OF DELIVERING PRISONERS FROM JAIL AND INFIDELITY IN THE CUSTODY OF PRISONERS, AMENDING FOR THE PURPOSE ARTICLES 156, 223 AND 224 OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE, AND FOR OTHER PURPOSES","REVILLA JR., RAMON BONG","September 28, 2010",NATIONAL,REVISED PENAL CODE (R.A.NO. 3815 AMENDMENTS) PRISONERS/INMATES CUSTODIAL INFIDELITY,JUSTICE AND HUMAN RIGHTS,PENDING IN THE COMMITTEE
Senate Bill No. 823,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-823-15th-congress-republic,SOCIAL SECURITY LAW,"AN ACT AMENDING REPUBLIC ACT NUMBERED ELEVEN HUNDRED SIXTY ONE, ALSO KNOWN AS THE SOCIAL SECURITY LAW, AS AMENDED, INCREASING THE PENALTIES FOR NON-REMITTANCE OF CONTRIBUTIONS TO THE SOCIAL SECURITY SYSTEM BY THE EMPLOYER","ESTRADA, JINGGOY E.","August 7, 2010",NATIONAL,SOCIAL SECURITY SYSTEM (SSS),GOVERNMENT CORPORATIONS AND PUBLIC ENTERPRISES,PENDING IN THE COMMITTEE
Senate Bill No. 2034,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-2034-15th-congress-republic,"MARINE POLLUTION DECREE, AMENDMENT RE DEPOSIT OF WASTE MATERIALS IN DEEP WATER","AN ACT AMENDING CERTAIN SECTIONS OF PRESIDENTIAL DECREE NUMBERED SIX HUNDRED, OTHERWISE KNOWN AS THE MARINE POLLUTION DECREE OF 1974",Edgardo J. Angara,"July 26, 2010",NATIONAL,MARINE POLLUTION PHILIPPINE COAST GUARD WASTE MANAGEMENT,ENVIRONMENT AND NATURAL RESOURCES,PENDING IN THE COMMITTEE
Senate Bill No. 260,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-260-15th-congress-republic,AUTOMATIC PROMOTION OF GOVERNMENT OFFICIALS AND EMPLOYEES UPON RETIREMENT,AN ACT PROVIDING AUTOMATIC PROMOTION OF GOVERNMENT OFFICIALS AND EMPLOYEES UPON RETIREMENT FROM GOVERNMENT SERVICE AND FOR OTHER PURPOSES,Antonio F. Trillanes IV,"June 7, 2010",NATIONAL,RETIREMENT (AUTOMATIC PROMOTION UPON RETIREMENT),CIVIL SERVICE AND GOVERNMENT REORGANIZATION,PENDING IN THE COMMITTEE
Senate Bill No. 881,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-881-15th-congress-republic,ANTI LOOK-ALIKE AND IMITATION FIREARMS ACT,AN ACT PROHIBITING THE MANUFACTURE AND SALE OF IMITATION FIREARMS,"ESTRADA, JINGGOY E.","August 7, 2010",NATIONAL,FIREARMS,PUBLIC ORDER AND DANGEROUS DRUGS,PENDING IN THE COMMITTEE
Senate Bill No. 1139,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1139-15th-congress-republic,EDUCATIONAL BENEFITS OF THE MINOR CHILDREN OF FIREFIGHTERS,"AN ACT ENSURING THE EDUCATIONAL BENEFITS OF THE MINOR CHILDREN OF FIREFIGHTERS WHO ARE KILLED IN THE LINE OF DUTY OR OF OCCUPATION-RELATED ILLNESS, AND FOR OTHER PURPOSES","Manuel B. Villar, Jr. B.","December 7, 2010",NATIONAL,EDUCATIONAL BENEFITS FIREFIGHTERS,PUBLIC ORDER AND DANGEROUS DRUGS,PENDING IN THE COMMITTEE
Senate Bill No. 1757,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-1757-15th-congress-republic,HEALTH EMPOWERMENT ZONE ACT,AN ACT TO AUTHORIZE THE SECRETARY OF HEALTH TO DESIGNATE HEALTH EMPOWERMENT ZONES,Miriam Defensor Santiago,"July 21, 2010",NATIONAL,DEPARTMENT OF HEALTH (DOH),HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
